ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,foul,ft,ft_pct,fta,nome,orb,points,stl,tov,trb
0,0,0,0,0,,0,,0,0,0,,0,Ryan Broekhoff,0,0,0,0,0
0,0,0,0,0,,0,,0,0,0,,0,Brandon Goodwin,0,0,0,0,0
1,0,0,0,0,.000,1,.000,1,0,0,,0,Daniel Hamilton,0,0,0,0,0
1,1,0,0,0,,0,.000,1,2,0,,0,Ivica Zubac,0,0,0,0,0
1,0,1,1,0,.000,4,.200,5,2,0,,0,Dorian Finney-Smith,1,2,1,1,2
2,0,1,1,0,.000,1,.250,4,3,1,.500,2,DeAndre' Bembry,0,3,0,1,1
1,0,1,2,0,.000,1,.222,9,2,0,,0,Tyreke Evans,1,4,0,0,2
2,0,3,0,0,.000,4,.000,5,1,0,,0,David Nwaba,0,0,1,0,3
1,0,1,2,1,.333,3,.400,5,5,0,,0,Torrey Craig,0,5,0,2,1
0,1,1,1,1,.333,3,.200,5,4,0,,0,Rodions Kurucs,0,3,0,0,1
0,0,0,0,0,,0,,0,2,0,,0,Justin Anderson,0,0,0,0,0
1,0,0,0,0,.000,1,.000,1,2,0,,0,Nick Young,0,0,0,0,0
0,0,0,1,0,.000,2,.333,3,3,0,,0,Channing Frye,0,2,0,0,0
1,0,3,0,0,,0,.000,2,5,2,.500,4,Ian Mahinmi,1,2,0,1,4
0,0,0,0,0,.000,1,.000,1,1,0,,0,Svi Mykhailiuk,0,0,0,1,0
